file,scenario,cyclist_true_d_idx,cyclist_true_r_idx,vehicle_true_d_idx,vehicle_true_r_idx,valid_cyclist,valid_vehicle,valid_all,source_index,cyclist_true_angle_deg,vehicle_true_angle_deg
./learn_dataset_narrow_angle_single\sample_00028.npz,cyclist_only,1,161,0,0,True,0,1,29,2.8993237953037374,0.0
./learn_dataset_narrow_angle_single\sample_00029.npz,cyclist_only,1,161,0,0,True,0,1,30,2.9015126267099904,0.0
./learn_dataset_narrow_angle_single\sample_00030.npz,cyclist_only,1,161,0,0,True,0,1,31,2.903702938910115,0.0
./learn_dataset_narrow_angle_single\sample_00031.npz,cyclist_only,1,160,0,0,True,0,1,32,2.9058947334008955,0.0
./learn_dataset_narrow_angle_single\sample_00032.npz,cyclist_only,1,160,0,0,True,0,1,33,2.90808801168113,0.0
./learn_dataset_narrow_angle_single\sample_00033.npz,cyclist_only,1,160,0,0,True,0,1,34,2.9102827752516234,0.0
./learn_dataset_narrow_angle_single\sample_00034.npz,cyclist_only,1,160,0,0,True,0,1,35,2.912479025615202,0.0
./learn_dataset_narrow_angle_single\sample_00035.npz,cyclist_only,1,159,0,0,True,0,1,36,2.914676764276707,0.0
./learn_dataset_narrow_angle_single\sample_00036.npz,cyclist_only,1,159,0,0,True,0,1,37,2.9168759927430035,0.0
./learn_dataset_narrow_angle_single\sample_00037.npz,cyclist_only,1,159,0,0,True,0,1,38,2.919076712522985,0.0
./learn_dataset_narrow_angle_single\sample_00038.npz,cyclist_only,1,159,0,0,True,0,1,39,2.9212789251275715,0.0
./learn_dataset_narrow_angle_single\sample_00039.npz,cyclist_only,1,158,0,0,True,0,1,40,2.9234826320697187,0.0
./learn_dataset_narrow_angle_single\sample_00040.npz,cyclist_only,1,158,0,0,True,0,1,41,2.925687834864417,0.0
./learn_dataset_narrow_angle_single\sample_00041.npz,cyclist_only,1,158,0,0,True,0,1,42,2.9278945350286927,0.0
./learn_dataset_narrow_angle_single\sample_00042.npz,cyclist_only,1,158,0,0,True,0,1,43,2.9301027340816237,0.0
./learn_dataset_narrow_angle_single\sample_00043.npz,cyclist_only,1,157,0,0,True,0,1,44,2.9323124335443254,0.0
./learn_dataset_narrow_angle_single\sample_00044.npz,cyclist_only,1,157,0,0,True,0,1,45,2.934523634939972,0.0
./learn_dataset_narrow_angle_single\sample_00045.npz,cyclist_only,1,157,0,0,True,0,1,46,2.9367363397937836,0.0
./learn_dataset_narrow_angle_single\sample_00046.npz,cyclist_only,1,157,0,0,True,0,1,47,2.9389505496330406,0.0
./learn_dataset_narrow_angle_single\sample_00047.npz,cyclist_only,1,156,0,0,True,0,1,48,2.9411662659870843,0.0
./learn_dataset_narrow_angle_single\sample_00048.npz,cyclist_only,1,156,0,0,True,0,1,49,2.9433834903873164,0.0
./learn_dataset_narrow_angle_single\sample_00049.npz,cyclist_only,1,156,0,0,True,0,1,50,2.9456022243672124,0.0
./learn_dataset_narrow_angle_single\sample_00050.npz,cyclist_only,1,156,0,0,True,0,1,51,2.9478224694623103,0.0
./learn_dataset_narrow_angle_single\sample_00051.npz,cyclist_only,1,155,0,0,True,0,1,52,2.9500442272102276,0.0
./learn_dataset_narrow_angle_single\sample_00052.npz,cyclist_only,1,155,0,0,True,0,1,53,2.9522674991506577,0.0
./learn_dataset_narrow_angle_single\sample_00053.npz,cyclist_only,1,155,0,0,True,0,1,54,2.954492286825375,0.0
./learn_dataset_narrow_angle_single\sample_00054.npz,cyclist_only,1,155,0,0,True,0,1,55,2.9567185917782424,0.0
./learn_dataset_narrow_angle_single\sample_00055.npz,cyclist_only,1,154,0,0,True,0,1,56,2.958946415555204,0.0
./learn_dataset_narrow_angle_single\sample_00056.npz,cyclist_only,1,154,0,0,True,0,1,57,2.9611757597043007,0.0
./learn_dataset_narrow_angle_single\sample_00057.npz,cyclist_only,1,154,0,0,True,0,1,58,2.963406625775668,0.0
./learn_dataset_narrow_angle_single\sample_00058.npz,cyclist_only,1,153,0,0,True,0,1,59,2.9656390153215373,0.0
./learn_dataset_narrow_angle_single\sample_00059.npz,cyclist_only,1,153,0,0,True,0,1,60,2.967872929896247,0.0
./learn_dataset_narrow_angle_single\sample_00060.npz,cyclist_only,1,153,0,0,True,0,1,61,2.970108371056238,0.0
./learn_dataset_narrow_angle_single\sample_00061.npz,cyclist_only,1,153,0,0,True,0,1,62,2.972345340360059,0.0
./learn_dataset_narrow_angle_single\sample_00062.npz,cyclist_only,1,152,0,0,True,0,1,63,2.9745838393683766,0.0
./learn_dataset_narrow_angle_single\sample_00063.npz,cyclist_only,1,152,0,0,True,0,1,64,2.9768238696439693,0.0
./learn_dataset_narrow_angle_single\sample_00064.npz,cyclist_only,1,152,0,0,True,0,1,65,2.9790654327517405,0.0
./learn_dataset_narrow_angle_single\sample_00065.npz,cyclist_only,1,152,0,0,True,0,1,66,2.9813085302587106,0.0
./learn_dataset_narrow_angle_single\sample_00066.npz,cyclist_only,1,151,0,0,True,0,1,67,2.983553163734033,0.0
./learn_dataset_narrow_angle_single\sample_00067.npz,cyclist_only,1,151,0,0,True,0,1,68,2.9857993347489913,0.0
./learn_dataset_narrow_angle_single\sample_00068.npz,cyclist_only,1,151,0,0,True,0,1,69,2.9880470448769985,0.0
./learn_dataset_narrow_angle_single\sample_00069.npz,cyclist_only,1,151,0,0,True,0,1,70,2.990296295693612,0.0
./learn_dataset_narrow_angle_single\sample_00070.npz,cyclist_only,1,150,0,0,True,0,1,71,2.9925470887765298,0.0
./learn_dataset_narrow_angle_single\sample_00071.npz,cyclist_only,1,150,0,0,True,0,1,72,2.9947994257055885,0.0
./learn_dataset_narrow_angle_single\sample_00072.npz,cyclist_only,1,150,0,0,True,0,1,73,2.9970533080627835,0.0
./learn_dataset_narrow_angle_single\sample_00073.npz,cyclist_only,1,150,0,0,True,0,1,74,2.999308737432256,0.0
./learn_dataset_narrow_angle_single\sample_00074.npz,cyclist_only,1,149,0,0,True,0,1,75,3.0015657154003046,0.0
./learn_dataset_narrow_angle_single\sample_00075.npz,cyclist_only,1,149,0,0,True,0,1,76,3.003824243555392,0.0
./learn_dataset_narrow_angle_single\sample_00076.npz,cyclist_only,1,149,0,0,True,0,1,77,3.0060843234881354,0.0
./learn_dataset_narrow_angle_single\sample_00077.npz,cyclist_only,1,149,0,0,True,0,1,78,3.00834595679133,0.0
./learn_dataset_narrow_angle_single\sample_00078.npz,cyclist_only,1,148,0,0,True,0,1,79,3.0106091450599335,0.0
./learn_dataset_narrow_angle_single\sample_00079.npz,cyclist_only,1,148,0,0,True,0,1,80,3.0128738898910834,0.0
./learn_dataset_narrow_angle_single\sample_00080.npz,cyclist_only,1,148,0,0,True,0,1,81,3.015140192884091,0.0
./learn_dataset_narrow_angle_single\sample_00081.npz,cyclist_only,1,148,0,0,True,0,1,82,3.0174080556404532,0.0
./learn_dataset_narrow_angle_single\sample_00082.npz,cyclist_only,1,147,0,0,True,0,1,83,3.0196774797638515,0.0
./learn_dataset_narrow_angle_single\sample_00083.npz,cyclist_only,1,147,0,0,True,0,1,84,3.0219484668601555,0.0
./learn_dataset_narrow_angle_single\sample_00084.npz,cyclist_only,1,147,0,0,True,0,1,85,3.0242210185374296,0.0
./learn_dataset_narrow_angle_single\sample_00085.npz,cyclist_only,1,147,0,0,True,0,1,86,3.026495136405934,0.0
./learn_dataset_narrow_angle_single\sample_00086.npz,cyclist_only,1,146,0,0,True,0,1,87,3.0287708220781284,0.0
./learn_dataset_narrow_angle_single\sample_00087.npz,cyclist_only,1,146,0,0,True,0,1,88,3.031048077168681,0.0
./learn_dataset_narrow_angle_single\sample_00088.npz,cyclist_only,1,146,0,0,True,0,1,89,3.0333269032944603,0.0
./learn_dataset_narrow_angle_single\sample_00089.npz,cyclist_only,1,146,0,0,True,0,1,90,3.0356073020745575,0.0
./learn_dataset_narrow_angle_single\sample_00090.npz,cyclist_only,1,145,0,0,True,0,1,91,3.037889275130268,0.0
./learn_dataset_narrow_angle_single\sample_00091.npz,cyclist_only,1,145,0,0,True,0,1,92,3.040172824085113,0.0
./learn_dataset_narrow_angle_single\sample_00092.npz,cyclist_only,1,145,0,0,True,0,1,93,3.0424579505648386,0.0
./learn_dataset_narrow_angle_single\sample_00093.npz,cyclist_only,1,144,0,0,True,0,1,94,3.044744656197409,0.0
./learn_dataset_narrow_angle_single\sample_00094.npz,cyclist_only,1,144,0,0,True,0,1,95,3.047032942613031,0.0
./learn_dataset_narrow_angle_single\sample_00095.npz,cyclist_only,1,144,0,0,True,0,1,96,3.0493228114441355,0.0
./learn_dataset_narrow_angle_single\sample_00096.npz,cyclist_only,1,144,0,0,True,0,1,97,3.0516142643253974,0.0
./learn_dataset_narrow_angle_single\sample_00097.npz,cyclist_only,1,143,0,0,True,0,1,98,3.0539073028937334,0.0
./learn_dataset_narrow_angle_single\sample_00098.npz,cyclist_only,1,143,0,0,True,0,1,99,3.056201928788301,0.0
./learn_dataset_narrow_angle_single\sample_00099.npz,cyclist_only,1,143,0,0,True,0,1,100,3.058498143650517,0.0
./learn_dataset_narrow_angle_single\sample_00100.npz,cyclist_only,1,143,0,0,True,0,1,101,3.060795949124043,0.0
./learn_dataset_narrow_angle_single\sample_00101.npz,cyclist_only,1,142,0,0,True,0,1,102,3.0630953468548014,0.0
./learn_dataset_narrow_angle_single\sample_00102.npz,cyclist_only,1,142,0,0,True,0,1,103,3.065396338490978,0.0
./learn_dataset_narrow_angle_single\sample_00103.npz,cyclist_only,1,142,0,0,True,0,1,104,3.0676989256830187,0.0
./learn_dataset_narrow_angle_single\sample_00104.npz,cyclist_only,1,142,0,0,True,0,1,105,3.070003110083645,0.0
./learn_dataset_narrow_angle_single\sample_00105.npz,cyclist_only,1,141,0,0,True,0,1,106,3.072308893347847,0.0
./learn_dataset_narrow_angle_single\sample_00106.npz,cyclist_only,1,141,0,0,True,0,1,107,3.074616277132891,0.0
./learn_dataset_narrow_angle_single\sample_00107.npz,cyclist_only,1,141,0,0,True,0,1,108,3.076925263098327,0.0
./learn_dataset_narrow_angle_single\sample_00108.npz,cyclist_only,1,141,0,0,True,0,1,109,3.0792358529059873,0.0
./learn_dataset_narrow_angle_single\sample_00109.npz,cyclist_only,1,140,0,0,True,0,1,110,3.081548048219996,0.0
./learn_dataset_narrow_angle_single\sample_00110.npz,cyclist_only,1,140,0,0,True,0,1,111,3.083861850706767,0.0
./learn_dataset_narrow_angle_single\sample_00111.npz,cyclist_only,1,140,0,0,True,0,1,112,3.0861772620350085,0.0
./learn_dataset_narrow_angle_single\sample_00112.npz,cyclist_only,1,140,0,0,True,0,1,113,3.0884942838757357,0.0
./learn_dataset_narrow_angle_single\sample_00113.npz,cyclist_only,1,139,0,0,True,0,1,114,3.0908129179022605,0.0
./learn_dataset_narrow_angle_single\sample_00114.npz,cyclist_only,1,139,0,0,True,0,1,115,3.09313316579021,0.0
./learn_dataset_narrow_angle_single\sample_00115.npz,cyclist_only,1,139,0,0,True,0,1,116,3.095455029217519,0.0
./learn_dataset_narrow_angle_single\sample_00116.npz,cyclist_only,1,139,0,0,True,0,1,117,3.0977785098644386,0.0
./learn_dataset_narrow_angle_single\sample_00117.npz,cyclist_only,1,138,0,0,True,0,1,118,3.100103609413544,0.0
./learn_dataset_narrow_angle_single\sample_00118.npz,cyclist_only,1,138,0,0,True,0,1,119,3.102430329549728,0.0
./learn_dataset_narrow_angle_single\sample_00119.npz,cyclist_only,1,138,0,0,True,0,1,120,3.10475867196022,0.0
./learn_dataset_narrow_angle_single\sample_00120.npz,cyclist_only,1,138,0,0,True,0,1,121,3.1070886383345755,0.0
./learn_dataset_narrow_angle_single\sample_00121.npz,cyclist_only,1,137,0,0,True,0,1,122,3.1094202303646843,0.0
./learn_dataset_narrow_angle_single\sample_00122.npz,cyclist_only,1,137,0,0,True,0,1,123,3.111753449744785,0.0
./learn_dataset_narrow_angle_single\sample_00123.npz,cyclist_only,1,137,0,0,True,0,1,124,3.1140882981714526,0.0
./learn_dataset_narrow_angle_single\sample_00124.npz,cyclist_only,1,137,0,0,True,0,1,125,3.116424777343614,0.0
./learn_dataset_narrow_angle_single\sample_00125.npz,cyclist_only,1,136,0,0,True,0,1,126,3.1187628889625474,0.0
./learn_dataset_narrow_angle_single\sample_00126.npz,cyclist_only,1,136,0,0,True,0,1,127,3.1211026347318853,0.0
./learn_dataset_narrow_angle_single\sample_00127.npz,cyclist_only,1,136,0,0,True,0,1,128,3.1234440163576256,0.0
./learn_dataset_narrow_angle_single\sample_00128.npz,cyclist_only,1,136,0,0,True,0,1,129,3.1257870355481256,0.0
./learn_dataset_narrow_angle_single\sample_00129.npz,cyclist_only,1,135,0,0,True,0,1,130,3.128131694014117,0.0
./learn_dataset_narrow_angle_single\sample_00130.npz,cyclist_only,1,135,0,0,True,0,1,131,3.130477993468698,0.0
./learn_dataset_narrow_angle_single\sample_00131.npz,cyclist_only,1,135,0,0,True,0,1,132,3.1328259356273462,0.0
./learn_dataset_narrow_angle_single\sample_00132.npz,cyclist_only,1,134,0,0,True,0,1,133,3.1351755222079207,0.0
./learn_dataset_narrow_angle_single\sample_00133.npz,cyclist_only,1,134,0,0,True,0,1,134,3.1375267549306636,0.0
./learn_dataset_narrow_angle_single\sample_00134.npz,cyclist_only,1,134,0,0,True,0,1,135,3.1398796355182115,0.0
./learn_dataset_narrow_angle_single\sample_00135.npz,cyclist_only,1,134,0,0,True,0,1,136,3.1422341656955872,0.0
./learn_dataset_narrow_angle_single\sample_00136.npz,cyclist_only,1,133,0,0,True,0,1,137,3.144590347190212,0.0
./learn_dataset_narrow_angle_single\sample_00137.npz,cyclist_only,1,133,0,0,True,0,1,138,3.146948181731915,0.0
./learn_dataset_narrow_angle_single\sample_00138.npz,cyclist_only,1,133,0,0,True,0,1,139,3.149307671052923,0.0
./learn_dataset_narrow_angle_single\sample_00139.npz,cyclist_only,1,133,0,0,True,0,1,140,3.1516688168878777,0.0
./learn_dataset_narrow_angle_single\sample_00140.npz,cyclist_only,1,132,0,0,True,0,1,141,3.1540316209738353,0.0
./learn_dataset_narrow_angle_single\sample_00141.npz,cyclist_only,1,132,0,0,True,0,1,142,3.1563960850502646,0.0
./learn_dataset_narrow_angle_single\sample_00142.npz,cyclist_only,1,132,0,0,True,0,1,143,3.158762210859063,0.0
./learn_dataset_narrow_angle_single\sample_00143.npz,cyclist_only,1,132,0,0,True,0,1,144,3.1611300001445493,0.0
./learn_dataset_narrow_angle_single\sample_00144.npz,cyclist_only,1,131,0,0,True,0,1,145,3.1634994546534787,0.0
./learn_dataset_narrow_angle_single\sample_00145.npz,cyclist_only,1,131,0,0,True,0,1,146,3.165870576135038,0.0
./learn_dataset_narrow_angle_single\sample_00146.npz,cyclist_only,1,131,0,0,True,0,1,147,3.168243366340851,0.0
./learn_dataset_narrow_angle_single\sample_00147.npz,cyclist_only,1,131,0,0,True,0,1,148,3.1706178270249894,0.0
./learn_dataset_narrow_angle_single\sample_00148.npz,cyclist_only,1,130,0,0,True,0,1,149,3.172993959943971,0.0
./learn_dataset_narrow_angle_single\sample_00149.npz,cyclist_only,1,130,0,0,True,0,1,150,3.1753717668567645,0.0
./learn_dataset_narrow_angle_single\sample_00150.npz,cyclist_only,1,130,0,0,True,0,1,151,3.1777512495247975,0.0
./learn_dataset_narrow_angle_single\sample_00151.npz,cyclist_only,1,130,0,0,True,0,1,152,3.180132409711952,0.0
./learn_dataset_narrow_angle_single\sample_00152.npz,cyclist_only,1,129,0,0,True,0,1,153,3.182515249184584,0.0
./learn_dataset_narrow_angle_single\sample_00153.npz,cyclist_only,1,129,0,0,True,0,1,154,3.184899769711509,0.0
./learn_dataset_narrow_angle_single\sample_00154.npz,cyclist_only,1,129,0,0,True,0,1,155,3.1872859730640237,0.0
./learn_dataset_narrow_angle_single\sample_00155.npz,cyclist_only,1,129,0,0,True,0,1,156,3.1896738610158986,0.0
./learn_dataset_narrow_angle_single\sample_00156.npz,cyclist_only,1,128,0,0,True,0,1,157,3.192063435343383,0.0
./learn_dataset_narrow_angle_single\sample_00157.npz,cyclist_only,1,128,0,0,True,0,1,158,3.1944546978252215,0.0
./learn_dataset_narrow_angle_single\sample_00158.npz,cyclist_only,1,128,0,0,True,0,1,159,3.1968476502426393,0.0
./learn_dataset_narrow_angle_single\sample_00159.npz,cyclist_only,1,128,0,0,True,0,1,160,3.199242294379365,0.0
./learn_dataset_narrow_angle_single\sample_00160.npz,cyclist_only,1,127,0,0,True,0,1,161,3.2016386320216195,0.0
./learn_dataset_narrow_angle_single\sample_00161.npz,cyclist_only,1,127,0,0,True,0,1,162,3.2040366649581307,0.0
./learn_dataset_narrow_angle_single\sample_00162.npz,cyclist_only,1,127,0,0,True,0,1,163,3.2064363949801367,0.0
./learn_dataset_narrow_angle_single\sample_00163.npz,cyclist_only,1,127,0,0,True,0,1,164,3.208837823881382,0.0
./learn_dataset_narrow_angle_single\sample_00164.npz,cyclist_only,1,126,0,0,True,0,1,165,3.211240953458136,0.0
./learn_dataset_narrow_angle_single\sample_00165.npz,cyclist_only,1,126,0,0,True,0,1,166,3.213645785509182,0.0
./learn_dataset_narrow_angle_single\sample_00166.npz,cyclist_only,1,126,0,0,True,0,1,167,3.2160523218358295,0.0
./learn_dataset_narrow_angle_single\sample_00167.npz,cyclist_only,1,126,0,0,True,0,1,168,3.218460564241924,0.0
./learn_dataset_narrow_angle_single\sample_00168.npz,cyclist_only,1,125,0,0,True,0,1,169,3.22087051453384,0.0
./learn_dataset_narrow_angle_single\sample_00169.npz,cyclist_only,1,125,0,0,True,0,1,170,3.223282174520492,0.0
./learn_dataset_narrow_angle_single\sample_00170.npz,cyclist_only,1,125,0,0,True,0,1,171,3.225695546013339,0.0
./learn_dataset_narrow_angle_single\sample_00171.npz,cyclist_only,1,124,0,0,True,0,1,172,3.2281106308263845,0.0
./learn_dataset_narrow_angle_single\sample_00172.npz,cyclist_only,1,124,0,0,True,0,1,173,3.230527430776191,0.0
./learn_dataset_narrow_angle_single\sample_00173.npz,cyclist_only,1,124,0,0,True,0,1,174,3.2329459476818676,0.0
./learn_dataset_narrow_angle_single\sample_00174.npz,cyclist_only,1,124,0,0,True,0,1,175,3.2353661833650946,0.0
./learn_dataset_narrow_angle_single\sample_00175.npz,cyclist_only,1,123,0,0,True,0,1,176,3.237788139650112,0.0
./learn_dataset_narrow_angle_single\sample_00176.npz,cyclist_only,1,123,0,0,True,0,1,177,3.2402118183637296,0.0
./learn_dataset_narrow_angle_single\sample_00177.npz,cyclist_only,1,123,0,0,True,0,1,178,3.242637221335337,0.0
./learn_dataset_narrow_angle_single\sample_00178.npz,cyclist_only,1,123,0,0,True,0,1,179,3.245064350396896,0.0
./learn_dataset_narrow_angle_single\sample_00179.npz,cyclist_only,1,122,0,0,True,0,1,180,3.2474932073829588,0.0
./learn_dataset_narrow_angle_single\sample_00180.npz,cyclist_only,1,122,0,0,True,0,1,181,3.2499237941306616,0.0
./learn_dataset_narrow_angle_single\sample_00181.npz,cyclist_only,1,122,0,0,True,0,1,182,3.252356112479732,0.0
./learn_dataset_narrow_angle_single\sample_00182.npz,cyclist_only,1,122,0,0,True,0,1,183,3.2547901642725003,0.0
./learn_dataset_narrow_angle_single\sample_00183.npz,cyclist_only,1,121,0,0,True,0,1,184,3.2572259513538935,0.0
./learn_dataset_narrow_angle_single\sample_00184.npz,cyclist_only,1,121,0,0,True,0,1,185,3.2596634755714486,0.0
./learn_dataset_narrow_angle_single\sample_00185.npz,cyclist_only,1,121,0,0,True,0,1,186,3.262102738775312,0.0
./learn_dataset_narrow_angle_single\sample_00186.npz,cyclist_only,1,121,0,0,True,0,1,187,3.264543742818244,0.0
./learn_dataset_narrow_angle_single\sample_00187.npz,cyclist_only,1,120,0,0,True,0,1,188,3.2669864895556295,0.0
./learn_dataset_narrow_angle_single\sample_00188.npz,cyclist_only,1,120,0,0,True,0,1,189,3.2694309808454736,0.0
./learn_dataset_narrow_angle_single\sample_00189.npz,cyclist_only,1,120,0,0,True,0,1,190,3.2718772185484144,0.0
./learn_dataset_narrow_angle_single\sample_00190.npz,cyclist_only,1,120,0,0,True,0,1,191,3.274325204527722,0.0
./learn_dataset_narrow_angle_single\sample_00191.npz,cyclist_only,1,119,0,0,True,0,1,192,3.276774940649304,0.0
./learn_dataset_narrow_angle_single\sample_00192.npz,cyclist_only,1,119,0,0,True,0,1,193,3.2792264287817163,0.0
./learn_dataset_narrow_angle_single\sample_00193.npz,cyclist_only,1,119,0,0,True,0,1,194,3.281679670796156,0.0
./learn_dataset_narrow_angle_single\sample_00194.npz,cyclist_only,1,119,0,0,True,0,1,195,3.2841346685664803,0.0
./learn_dataset_narrow_angle_single\sample_00195.npz,cyclist_only,1,118,0,0,True,0,1,196,3.286591423969198,0.0
./learn_dataset_narrow_angle_single\sample_00196.npz,cyclist_only,1,118,0,0,True,0,1,197,3.2890499388834806,0.0
./learn_dataset_narrow_angle_single\sample_00197.npz,cyclist_only,1,118,0,0,True,0,1,198,3.29151021519117,0.0
./learn_dataset_narrow_angle_single\sample_00198.npz,cyclist_only,1,118,0,0,True,0,1,199,3.293972254776776,0.0
./learn_dataset_narrow_angle_single\sample_00199.npz,cyclist_only,1,117,0,0,True,0,1,200,3.296436059527486,0.0
./learn_dataset_narrow_angle_single\sample_00200.npz,cyclist_only,1,117,0,0,True,0,1,201,3.298901631333169,0.0
./learn_dataset_narrow_angle_single\sample_00201.npz,cyclist_only,1,117,0,0,True,0,1,202,3.3013689720863764,0.0
./learn_dataset_narrow_angle_single\sample_00202.npz,cyclist_only,1,117,0,0,True,0,1,203,3.303838083682356,0.0
./learn_dataset_narrow_angle_single\sample_00203.npz,cyclist_only,1,116,0,0,True,0,1,204,3.306308968019042,0.0
./learn_dataset_narrow_angle_single\sample_00204.npz,cyclist_only,1,116,0,0,True,0,1,205,3.308781626997079,0.0
./learn_dataset_narrow_angle_single\sample_00205.npz,cyclist_only,1,116,0,0,True,0,1,206,3.311256062519808,0.0
./learn_dataset_narrow_angle_single\sample_00206.npz,cyclist_only,1,116,0,0,True,0,1,207,3.313732276493282,0.0
./learn_dataset_narrow_angle_single\sample_00207.npz,cyclist_only,1,115,0,0,True,0,1,208,3.3162102708262693,0.0
./learn_dataset_narrow_angle_single\sample_00208.npz,cyclist_only,1,115,0,0,True,0,1,209,3.3186900474302568,0.0
./learn_dataset_narrow_angle_single\sample_00209.npz,cyclist_only,1,115,0,0,True,0,1,210,3.3211716082194562,0.0
./learn_dataset_narrow_angle_single\sample_00210.npz,cyclist_only,1,114,0,0,True,0,1,211,3.323654955110806,0.0
./learn_dataset_narrow_angle_single\sample_00211.npz,cyclist_only,1,114,0,0,True,0,1,212,3.326140090023977,0.0
./learn_dataset_narrow_angle_single\sample_00212.npz,cyclist_only,1,114,0,0,True,0,1,213,3.328627014881384,0.0
./learn_dataset_narrow_angle_single\sample_00213.npz,cyclist_only,1,114,0,0,True,0,1,214,3.3311157316081794,0.0
./learn_dataset_narrow_angle_single\sample_00214.npz,cyclist_only,1,113,0,0,True,0,1,215,3.33360624213227,0.0
./learn_dataset_narrow_angle_single\sample_00215.npz,cyclist_only,1,113,0,0,True,0,1,216,3.3360985483843066,0.0
./learn_dataset_narrow_angle_single\sample_00216.npz,cyclist_only,1,113,0,0,True,0,1,217,3.338592652297705,0.0
./learn_dataset_narrow_angle_single\sample_00217.npz,cyclist_only,1,113,0,0,True,0,1,218,3.3410885558086445,0.0
./learn_dataset_narrow_angle_single\sample_00218.npz,cyclist_only,1,112,0,0,True,0,1,219,3.3435862608560645,0.0
./learn_dataset_narrow_angle_single\sample_00219.npz,cyclist_only,1,112,0,0,True,0,1,220,3.3460857693816872,0.0
./learn_dataset_narrow_angle_single\sample_00220.npz,cyclist_only,1,112,0,0,True,0,1,221,3.348587083330005,0.0
./learn_dataset_narrow_angle_single\sample_00221.npz,cyclist_only,1,112,0,0,True,0,1,222,3.3510902046482935,0.0
./learn_dataset_narrow_angle_single\sample_00222.npz,cyclist_only,1,111,0,0,True,0,1,223,3.353595135286621,0.0
./learn_dataset_narrow_angle_single\sample_00223.npz,cyclist_only,1,111,0,0,True,0,1,224,3.3561018771978417,0.0
