sample_id,file,source_index_cyclist,source_index_vehicle,cyclist_true_range,cyclist_true_velocity,cyclist_true_angle_deg,cyclist_true_d_idx,cyclist_true_r_idx,vehicle_true_range,vehicle_true_velocity,vehicle_true_angle_deg,vehicle_true_d_idx,vehicle_true_r_idx,valid_cyclist,valid_vehicle,valid_all
13,./learn_dataset_narrow_angle_scenario\sample_00013.npz,189,165,282.34944660827654,5.86719761593271,3.2694309808454736,1,120,283.9251661970104,9.808922672488778,1.6851882017708144,1,124,True,True,1
14,./learn_dataset_narrow_angle_scenario\sample_00014.npz,192,170,282.0560937118714,5.866918094988676,3.276774940649304,1,119,283.4347367561005,9.808254386237168,1.694545070894331,1,123,True,True,1
15,./learn_dataset_narrow_angle_scenario\sample_00015.npz,195,175,281.76275481333585,5.866637700554465,3.2841346685664803,1,119,282.94434081635205,9.807582622057609,1.703935376629593,1,122,True,True,1
16,./learn_dataset_narrow_angle_scenario\sample_00016.npz,198,180,281.46942995643417,5.866356429028802,3.29151021519117,1,118,282.453978552259,9.806907356015525,1.7133592980179737,1,120,True,True,1
17,./learn_dataset_narrow_angle_scenario\sample_00017.npz,201,185,281.1761191851114,5.866074276792058,3.298901631333169,1,117,281.9636501395171,9.806228563972212,1.7228170153777458,1,119,True,True,1
18,./learn_dataset_narrow_angle_scenario\sample_00018.npz,204,190,280.8828225434941,5.8657912402061285,3.306308968019042,1,116,281.4733557550341,9.805546221582778,1.732308710315448,1,118,True,True,1
19,./learn_dataset_narrow_angle_scenario\sample_00019.npz,207,195,280.5895400758909,5.8655073156143365,3.313732276493282,1,116,280.98309557694034,9.804860304294039,1.7418345657373786,1,117,True,True,1
20,./learn_dataset_narrow_angle_scenario\sample_00020.npz,210,200,280.296271826794,5.865222499341311,3.3211716082194562,1,115,280.492869784599,9.804170787342395,1.7513947658612101,1,115,True,True,1
21,./learn_dataset_narrow_angle_scenario\sample_00021.npz,213,205,280.0030178408797,5.8649367876928755,3.328627014881384,1,114,280.00267855861665,9.80347764575171,1.7609894962277257,1,114,True,True,1
22,./learn_dataset_narrow_angle_scenario\sample_00022.npz,216,210,279.7097781630095,5.864650176955938,3.3360985483843066,1,113,279.5125220808542,9.802780854331113,1.7706189437126894,1,113,True,True,1
23,./learn_dataset_narrow_angle_scenario\sample_00023.npz,219,215,279.41655283823115,5.864362663398368,3.3435862608560645,1,112,279.0224005344374,9.802080387672824,1.7802832965388355,1,111,True,True,1
24,./learn_dataset_narrow_angle_scenario\sample_00024.npz,222,220,279.1233419117792,5.864074243268889,3.3510902046482935,1,112,278.5323141037679,9.801376220149924,1.7899827442879892,1,110,True,True,1
25,./learn_dataset_narrow_angle_scenario\sample_00025.npz,225,225,278.8301454290766,5.863784912796954,3.358610432337613,1,111,278.04226297453414,9.800668325914117,1.7997174779133225,1,109,True,True,1
26,./learn_dataset_narrow_angle_scenario\sample_00026.npz,228,230,278.53696343573506,5.8634946681926365,3.366146996726834,1,110,277.55224733372273,9.79995667889344,1.809487689751736,1,108,True,True,1
27,./learn_dataset_narrow_angle_scenario\sample_00027.npz,231,235,278.2437959775563,5.863203505646508,3.373699950846169,1,109,277.0622673696294,9.799241252789981,1.8192935735363793,1,106,True,True,1
28,./learn_dataset_narrow_angle_scenario\sample_00028.npz,234,240,277.9506431005332,5.862911421329516,3.381269347954454,1,109,276.5723232718704,9.798522021077545,1.8291353244093067,1,105,True,True,1
29,./learn_dataset_narrow_angle_scenario\sample_00029.npz,237,245,277.6575048508504,5.8626184113928685,3.3888552415403757,1,108,276.0824152313943,9.79779895699929,1.839013138934267,1,104,True,True,1
30,./learn_dataset_narrow_angle_scenario\sample_00030.npz,240,250,277.3643812748854,5.8623244719679155,3.396457685323698,1,107,275.592543440493,9.797072033565358,1.848927215109635,1,102,True,True,1
